               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060656,            0.032756,            0.054053,             0.21116,              0.7291,             0.28395,             0.15734,            0.036817,            0.013921,            0.046888,            0.070057,           0.0033269,           0.0033269
                   1,            0.042296,            0.017883,            0.043815,             0.29637,             0.68017,             0.46836,             0.23033,             0.03944,           0.0095452,            0.034506,            0.039728,           0.0063306,           0.0063306
                   2,            0.040754,            0.014235,            0.026873,             0.52352,             0.93846,              0.6508,             0.39292,            0.029279,           0.0090446,            0.018803,           0.0090681,           0.0090042,           0.0090042
                   3,            0.033633,            0.012521,            0.017481,             0.57979,             0.94696,             0.69758,             0.52855,            0.022476,           0.0077425,            0.017758,            0.008515,            0.008515,            0.008515
                   4,            0.027758,            0.011646,            0.016267,             0.68626,             0.90009,             0.75268,              0.6015,            0.016434,           0.0069585,            0.016733,            0.008515,            0.008515,            0.008515
                   5,             0.02428,            0.011038,            0.015249,             0.71756,             0.94193,             0.77431,             0.64528,            0.014767,           0.0065365,            0.014603,             0.00802,             0.00802,             0.00802
                   6,            0.021507,            0.010348,            0.013612,             0.72029,             0.93868,             0.80933,             0.66498,            0.014411,           0.0064224,            0.013047,            0.007525,            0.007525,            0.007525
                   7,            0.019912,           0.0097157,            0.011933,             0.72211,             0.94602,             0.82835,             0.70738,            0.013289,           0.0058855,            0.011953,             0.00703,             0.00703,             0.00703
                   8,            0.018081,           0.0092679,             0.01156,             0.75321,             0.94137,             0.85931,             0.76978,            0.010337,           0.0055095,             0.01119,            0.006535,            0.006535,            0.006535
                   9,            0.016561,            0.008762,            0.010583,             0.83473,             0.93549,             0.89625,              0.7952,            0.010803,           0.0051693,            0.010583,             0.00604,             0.00604,             0.00604
                  10,            0.015608,           0.0086063,             0.01018,             0.89962,             0.89256,             0.93466,             0.84777,           0.0096916,           0.0051887,           0.0099997,            0.005545,            0.005545,            0.005545
                  11,            0.014249,           0.0082269,           0.0098754,             0.91953,             0.92092,              0.9602,             0.86894,           0.0093004,           0.0048191,           0.0093487,             0.00505,             0.00505,             0.00505
                  12,            0.013351,           0.0079322,           0.0087624,             0.94886,              0.9333,             0.97124,             0.90124,           0.0076025,           0.0045141,           0.0084501,            0.004555,            0.004555,            0.004555
                  13,            0.012157,           0.0076503,            0.008194,             0.96378,             0.95129,             0.98157,             0.90375,           0.0081652,           0.0046457,           0.0075335,             0.00406,             0.00406,             0.00406
                  14,            0.011172,           0.0075469,           0.0073467,             0.96962,             0.94632,             0.98217,               0.911,           0.0074605,           0.0044597,           0.0066433,            0.003565,            0.003565,            0.003565
                  15,            0.010302,           0.0071703,            0.006098,             0.95748,             0.96673,             0.98607,             0.93594,           0.0065945,           0.0042945,           0.0051165,             0.00307,             0.00307,             0.00307
                  16,           0.0093275,           0.0069352,           0.0051207,             0.98548,             0.98115,             0.99136,             0.95262,            0.006368,           0.0041121,           0.0037092,            0.002575,            0.002575,            0.002575
                  17,           0.0084429,           0.0065989,            0.004513,             0.98966,             0.99041,             0.99355,             0.95459,           0.0062856,           0.0040623,           0.0027613,             0.00208,             0.00208,             0.00208
                  18,           0.0075656,            0.006388,           0.0039073,             0.98979,             0.98743,             0.99426,              0.9674,           0.0052973,            0.003787,            0.002083,            0.001585,            0.001585,            0.001585
                  19,           0.0067156,           0.0061669,           0.0034725,             0.99476,             0.99563,             0.99486,             0.97502,           0.0048484,           0.0036588,           0.0014324,             0.00109,             0.00109,             0.00109
                   0,            0.060656,            0.032756,            0.054053,             0.21116,              0.7291,             0.28395,             0.15734,            0.036817,            0.013921,            0.046888,            0.070057,           0.0033269,           0.0033269
