,SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),현지기압(hPa),해면기압(hPa),시정(10m),지면온도(°C),month,day,hour,PM10_lag1
0,0.003,0.6,0.002,0.039,31.0,18.0,18.7,0.0,1.0,20.0,85.0,18.3,998.8,1008.7,2000.0,17.4,10,1,1,10.0
1,0.003,0.6,0.002,0.035,27.0,16.0,18.3,0.0,0.3,0.0,89.0,18.6,998.9,1008.8,2000.0,17.2,10,1,2,9.0
2,0.003,0.6,0.002,0.033,28.0,18.0,17.7,0.0,2.0,20.0,92.0,18.5,998.1,1008.1,2000.0,17.0,10,1,3,9.0
3,0.003,0.6,0.002,0.03,26.0,16.0,17.4,0.0,1.0,50.0,91.0,18.1,997.9,1007.9,2000.0,16.5,10,1,4,10.0
4,0.003,0.5,0.003,0.026,26.0,16.0,17.2,0.0,1.3,270.0,94.0,18.4,998.4,1008.4,1995.0,16.6,10,1,5,11.0
5,0.003,0.5,0.002,0.025,22.0,14.0,17.0,0.0,1.9,360.0,94.0,18.2,999.2,1009.2,1910.0,16.5,10,1,6,11.0
6,0.003,0.5,0.002,0.024,25.0,14.0,17.0,0.0,0.8,290.0,95.0,18.3,1000.4,1010.4,2000.0,16.9,10,1,7,13.0
7,0.003,0.5,0.005,0.023,24.0,14.0,17.5,0.0,3.8,290.0,93.0,18.5,1002.0,1012.0,2000.0,19.1,10,1,8,14.0
8,0.003,0.5,0.011,0.02,23.0,12.0,19.8,0.0,2.6,90.0,86.0,19.7,999.4,1009.3,2000.0,23.4,10,1,9,15.0
9,0.003,0.6,0.026,0.016,40.0,22.0,21.4,0.0,3.0,90.0,76.0,19.2,999.3,1009.2,2000.0,27.0,10,1,10,18.0
10,0.003,0.5,0.031,0.014,49.0,29.0,23.0,0.0,2.2,70.0,70.0,19.6,998.7,1008.5,2000.0,30.5,10,1,11,24.0
11,0.003,0.5,0.035,0.017,43.0,24.0,24.6,0.0,1.1,90.0,65.0,20.0,998.0,1007.7,2000.0,33.1,10,1,12,26.0
12,0.003,0.6,0.04,0.021,43.0,27.0,26.0,0.0,1.1,50.0,56.0,18.8,997.6,1007.3,2000.0,34.4,10,1,13,30.0
13,0.003,0.5,0.051,0.02,42.0,24.0,27.2,0.0,2.1,250.0,50.0,17.9,997.4,1007.0,2000.0,33.7,10,1,14,34.0
14,0.003,0.5,0.059,0.017,40.0,26.0,27.2,0.0,3.3,270.0,45.0,16.2,997.2,1006.8,2000.0,31.1,10,1,15,31.0
15,0.003,0.4,0.064,0.014,39.0,20.0,26.9,0.0,2.7,270.0,47.0,16.6,997.2,1006.8,2000.0,27.2,10,1,16,28.0
16,0.003,0.5,0.07,0.016,42.0,22.0,25.7,0.0,2.8,250.0,56.0,18.4,998.0,1007.7,2000.0,23.8,10,1,17,31.0
17,0.003,0.5,0.06,0.017,44.0,25.0,23.9,0.0,3.2,250.0,59.0,17.4,998.0,1007.7,2000.0,21.2,10,1,18,32.0
18,0.004,0.5,0.057,0.023,43.0,25.0,22.5,0.0,2.9,270.0,66.0,17.9,998.6,1008.4,2000.0,19.9,10,1,19,38.0
19,0.005,0.6,0.059,0.022,48.0,28.0,21.8,0.0,2.4,290.0,72.0,18.8,999.1,1008.9,1741.0,19.6,10,1,20,40.0
20,0.004,0.5,0.062,0.016,51.0,33.0,21.5,0.0,3.4,270.0,75.0,19.1,1000.7,1010.6,1760.0,20.0,10,1,21,46.0
21,0.004,0.5,0.053,0.019,45.0,28.0,21.4,0.0,4.0,250.0,79.0,20.0,1002.4,1012.3,1652.0,20.0,10,1,22,43.0
22,0.003,0.3,0.054,0.01,33.0,24.0,17.2,12.7,3.7,180.0,88.0,17.2,1002.2,1012.2,1975.0,17.8,10,1,23,41.0
23,0.003,0.3,0.046,0.015,11.0,6.0,17.0,0.6,2.9,50.0,90.0,17.4,999.6,1009.6,2000.0,17.8,10,2,0,40.0
24,0.002,0.3,0.046,0.012,10.0,7.0,16.6,0.0,1.8,50.0,90.0,16.9,999.8,1009.8,2000.0,17.6,10,2,1,38.0
25,0.003,0.3,0.041,0.014,9.0,6.0,16.8,0.0,0.9,20.0,91.0,17.4,1000.0,1010.0,2000.0,17.9,10,2,2,37.0
26,0.003,0.3,0.039,0.015,9.0,8.0,16.6,0.0,0.9,50.0,93.0,17.5,1000.5,1010.5,1531.0,17.7,10,2,3,42.0
27,0.003,0.4,0.029,0.016,10.0,7.0,16.7,0.0,1.3,20.0,93.0,17.6,1001.0,1011.0,2000.0,17.4,10,2,4,41.0
28,0.002,0.4,0.029,0.016,11.0,9.0,16.5,0.0,1.2,20.0,95.0,17.7,1001.2,1011.3,2000.0,17.6,10,2,5,40.0
29,0.003,0.4,0.025,0.019,11.0,7.0,16.6,0.0,1.3,20.0,94.0,17.7,1001.9,1012.0,2000.0,18.0,10,2,6,37.0
30,0.003,0.4,0.023,0.022,13.0,7.0,16.9,0.0,0.9,20.0,94.0,18.1,1002.6,1012.7,1913.0,18.4,10,2,7,35.0
31,0.003,0.4,0.012,0.03,14.0,7.0,17.5,0.0,1.9,50.0,95.0,18.9,1003.3,1013.3,1972.0,19.5,10,2,8,31.0
32,0.003,0.4,0.015,0.028,15.0,7.0,18.8,0.0,1.9,20.0,91.0,19.6,1003.6,1013.6,2000.0,23.9,10,2,9,30.0
33,0.003,0.5,0.02,0.028,18.0,7.0,20.9,0.0,0.9,230.0,81.0,20.0,1004.2,1014.1,2000.0,26.9,10,2,10,31.0
34,0.003,0.4,0.033,0.025,24.0,11.0,21.7,0.0,0.7,340.0,77.0,19.9,1004.3,1014.2,2000.0,27.7,10,2,11,34.0
35,0.003,0.4,0.042,0.022,26.0,13.0,23.5,0.0,1.8,270.0,64.0,18.4,1004.0,1013.8,2000.0,33.6,10,2,12,35.0
36,0.003,0.4,0.051,0.019,30.0,16.0,24.2,0.0,2.3,270.0,61.0,18.3,1003.3,1013.0,2000.0,32.7,10,2,13,36.0
37,0.003,0.4,0.059,0.019,34.0,20.0,25.7,0.0,2.4,200.0,55.0,18.1,1002.9,1012.7,2000.0,33.4,10,2,14,35.0
38,0.003,0.4,0.069,0.016,31.0,21.0,26.2,0.0,2.2,230.0,54.0,18.3,1002.6,1012.3,2000.0,31.8,10,2,15,34.0
39,0.003,0.4,0.07,0.014,28.0,14.0,26.1,0.0,3.0,270.0,53.0,17.8,1002.9,1012.6,2000.0,28.0,10,2,16,39.0
40,0.004,0.4,0.071,0.015,31.0,19.0,25.2,0.0,3.1,250.0,55.0,17.6,1003.4,1013.2,2000.0,24.3,10,2,17,35.0
41,0.003,0.5,0.061,0.02,32.0,19.0,23.7,0.0,2.2,270.0,58.0,16.9,1003.9,1013.7,2000.0,22.0,10,2,18,35.0
42,0.004,0.5,0.057,0.027,38.0,25.0,22.5,0.0,0.7,270.0,64.0,17.4,1004.2,1014.0,2000.0,20.4,10,2,19,39.0
43,0.004,0.6,0.046,0.03,40.0,25.0,21.1,0.0,1.6,270.0,72.0,17.9,1005.4,1015.3,2000.0,19.8,10,2,20,37.0
44,0.003,0.7,0.036,0.033,46.0,30.0,20.8,0.0,0.3,0.0,77.0,18.9,1005.7,1015.7,2000.0,19.2,10,2,21,40.0
45,0.004,0.7,0.022,0.038,43.0,27.0,20.3,0.0,0.7,230.0,79.0,18.8,1006.1,1016.1,2000.0,18.8,10,2,22,41.0
46,0.003,0.7,0.019,0.037,41.0,25.0,19.9,0.0,0.7,340.0,84.0,19.5,1006.6,1016.6,1835.0,18.5,10,2,23,39.0
47,0.003,0.8,0.005,0.046,40.0,26.0,19.5,0.0,0.7,360.0,86.0,19.4,1006.8,1016.7,1404.0,18.2,10,3,0,41.0
48,0.003,0.7,0.007,0.038,38.0,24.0,19.1,0.0,0.0,0.0,89.0,19.6,1007.1,1017.1,1249.0,17.8,10,3,1,41.0
49,0.004,0.7,0.006,0.038,37.0,26.0,18.7,0.0,1.0,50.0,91.0,19.5,1007.0,1017.0,700.0,17.7,10,3,2,38.0
50,0.003,0.7,0.004,0.041,42.0,28.0,18.1,0.0,1.5,50.0,89.0,18.4,1007.2,1017.2,643.0,17.1,10,3,3,37.0
51,0.003,0.6,0.007,0.032,41.0,28.0,17.7,0.0,2.1,50.0,92.0,18.5,1007.1,1017.2,638.0,17.0,10,3,4,35.0
52,0.003,0.6,0.009,0.023,40.0,28.0,17.4,0.0,2.0,50.0,93.0,18.4,1006.8,1016.9,634.0,16.8,10,3,5,33.0
53,0.003,0.5,0.016,0.017,37.0,25.0,17.1,0.0,1.4,70.0,93.0,18.1,1007.9,1018.0,636.0,16.4,10,3,6,34.0
54,0.003,0.5,0.02,0.015,35.0,25.0,17.2,0.0,1.8,70.0,95.0,18.5,1008.7,1018.8,691.0,16.9,10,3,7,35.0
55,0.003,0.5,0.022,0.015,31.0,22.0,18.0,0.0,1.9,70.0,94.0,19.4,1008.7,1018.7,879.0,18.2,10,3,8,36.0
56,0.003,0.5,0.026,0.014,30.0,20.0,19.9,0.0,2.0,50.0,86.0,19.9,1009.5,1019.5,1146.0,22.4,10,3,9,41.0
57,0.003,0.5,0.033,0.015,31.0,23.0,21.8,0.0,2.1,50.0,79.0,20.5,1009.7,1019.6,1422.0,27.0,10,3,10,42.0
58,0.003,0.5,0.047,0.014,34.0,25.0,23.8,0.0,1.3,50.0,72.0,21.2,1010.0,1019.8,1889.0,31.1,10,3,11,43.0
59,0.003,0.5,0.055,0.013,35.0,24.0,26.0,0.0,2.6,230.0,61.0,20.4,1009.1,1018.9,2000.0,33.6,10,3,12,45.0
60,0.003,0.4,0.068,0.009,36.0,24.0,27.5,0.0,3.0,180.0,54.0,19.7,1008.9,1018.6,2000.0,35.0,10,3,13,43.0
61,0.003,0.4,0.072,0.008,35.0,22.0,28.6,0.0,2.7,250.0,47.0,18.3,1007.8,1017.5,2000.0,34.1,10,3,14,41.0
62,0.004,0.4,0.069,0.009,34.0,17.0,28.7,0.0,4.3,180.0,43.0,16.8,1007.6,1017.3,2000.0,32.3,10,3,15,45.0
63,0.003,0.4,0.066,0.009,39.0,20.0,27.9,0.0,3.7,200.0,40.0,15.0,1007.9,1017.6,2000.0,26.6,10,3,16,40.0
64,0.004,0.4,0.062,0.01,35.0,22.0,26.8,0.0,2.6,180.0,44.0,15.5,1008.1,1017.9,2000.0,24.5,10,3,17,40.0
65,0.003,0.4,0.057,0.014,35.0,18.0,25.8,0.0,3.2,200.0,49.0,16.2,1008.4,1018.2,2000.0,22.4,10,3,18,38.0
66,0.003,0.4,0.053,0.017,39.0,22.0,24.7,0.0,1.8,200.0,52.0,16.1,1008.7,1018.5,2000.0,20.8,10,3,19,37.0
67,0.003,0.5,0.042,0.024,37.0,23.0,23.6,0.0,1.2,180.0,58.0,16.8,1009.0,1018.8,2000.0,20.0,10,3,20,37.0
68,0.003,0.6,0.021,0.041,40.0,28.0,22.4,0.0,1.9,20.0,64.0,17.3,1008.9,1018.8,2000.0,19.6,10,3,21,35.0
69,0.003,0.6,0.015,0.041,41.0,26.0,21.6,0.0,0.3,0.0,65.0,16.7,1008.8,1018.7,2000.0,18.9,10,3,22,33.0
70,0.004,0.8,0.004,0.052,39.0,29.0,20.7,0.0,2.1,360.0,69.0,16.8,1008.8,1018.8,2000.0,18.6,10,3,23,38.0
71,0.003,0.8,0.003,0.049,41.0,28.0,20.2,0.0,1.4,20.0,71.0,16.7,1008.3,1018.3,2000.0,18.1,10,4,0,39.0
72,0.003,0.8,0.003,0.048,41.0,26.0,19.5,0.0,1.2,20.0,74.0,16.7,1008.2,1018.2,2000.0,17.7,10,4,1,40.0
73,0.003,0.7,0.005,0.04,38.0,25.0,19.3,0.0,1.2,360.0,76.0,16.9,1008.5,1018.5,2000.0,18.0,10,4,2,38.0
74,0.003,0.7,0.006,0.036,37.0,25.0,19.4,0.0,0.7,70.0,77.0,17.3,1008.4,1018.4,2000.0,18.7,10,4,3,41.0
75,0.003,0.6,0.009,0.031,35.0,23.0,19.6,0.0,1.0,90.0,76.0,17.3,1008.5,1018.5,2000.0,19.0,10,4,4,40.0
76,0.004,0.6,0.008,0.031,33.0,24.0,19.9,0.0,1.2,50.0,75.0,17.4,1009.2,1019.2,2000.0,19.5,10,4,5,41.0
77,0.003,0.6,0.009,0.029,34.0,23.0,20.2,0.0,1.4,50.0,76.0,17.9,1009.7,1019.7,2000.0,19.8,10,4,6,40.0
78,0.003,0.6,0.005,0.034,35.0,24.0,20.3,0.0,1.5,50.0,75.0,17.8,1010.2,1020.2,2000.0,20.0,10,4,7,42.0
79,0.003,0.6,0.005,0.035,36.0,24.0,20.7,0.0,1.7,50.0,76.0,18.5,1010.2,1020.2,2000.0,20.5,10,4,8,40.0
80,0.004,0.5,0.015,0.033,41.0,27.0,21.3,0.0,1.8,50.0,76.0,19.1,1009.6,1019.6,2000.0,21.4,10,4,9,38.0
81,0.004,0.5,0.02,0.029,42.0,26.0,22.1,0.0,1.8,90.0,79.0,20.9,1010.1,1020.0,2000.0,21.3,10,4,10,39.0
82,0.003,0.5,0.019,0.03,43.0,28.0,23.4,0.0,2.9,160.0,79.0,22.7,1010.0,1019.8,2000.0,22.5,10,4,11,41.0
83,0.004,0.4,0.029,0.02,45.0,25.0,24.3,0.0,4.5,200.0,78.0,23.7,1009.4,1019.2,2000.0,23.0,10,4,12,44.0
84,0.004,0.4,0.03,0.019,43.0,21.0,24.5,0.0,3.9,180.0,80.0,24.6,1008.6,1018.4,2000.0,22.9,10,4,13,39.0
85,0.004,0.3,0.035,0.013,41.0,18.0,25.4,0.0,4.4,200.0,77.0,24.9,1008.2,1018.0,2000.0,24.4,10,4,14,37.0
86,0.003,0.3,0.037,0.01,45.0,16.0,25.5,0.0,5.1,200.0,78.0,25.3,1007.7,1017.5,2000.0,24.4,10,4,15,42.0
87,0.003,0.3,0.035,0.011,40.0,14.0,25.4,0.0,3.7,200.0,78.0,25.2,1007.8,1017.6,2000.0,24.0,10,4,16,43.0
88,0.003,0.3,0.031,0.013,40.0,17.0,25.3,0.0,5.0,200.0,80.0,25.6,1008.1,1017.9,2000.0,23.2,10,4,17,42.0
89,0.003,0.3,0.03,0.012,38.0,14.0,24.1,2.5,2.8,250.0,92.0,27.6,1008.6,1018.4,326.0,22.7,10,4,18,43.0
90,0.003,0.3,0.03,0.011,37.0,14.0,24.0,1.1,3.8,200.0,89.0,26.4,1008.8,1018.6,1952.0,22.6,10,4,19,44.0
91,0.003,0.3,0.033,0.008,37.0,13.0,23.9,0.0,4.5,200.0,88.0,26.0,1009.0,1018.8,1981.0,22.4,10,4,20,42.0
92,0.003,0.3,0.033,0.009,35.0,11.0,24.0,0.0,4.1,200.0,87.0,25.8,1009.7,1019.5,1978.0,22.3,10,4,21,43.0
93,0.002,0.3,0.036,0.007,33.0,10.0,24.1,0.0,3.7,200.0,84.0,25.2,1010.4,1020.2,2000.0,22.2,10,4,22,35.0
94,0.003,0.3,0.037,0.007,38.0,14.0,24.1,0.0,3.8,200.0,83.0,24.9,1010.5,1020.3,2000.0,22.1,10,4,23,30.0
