,PM10_1
0,31.0
1,31.0
2,27.0
3,28.0
4,26.0
5,26.0
6,22.0
7,25.0
8,24.0
9,23.0
10,40.0
11,49.0
12,43.0
13,43.0
14,42.0
15,40.0
16,39.0
17,42.0
18,44.0
19,43.0
20,48.0
21,51.0
22,45.0
23,33.0
24,11.0
25,10.0
26,9.0
27,9.0
28,10.0
29,11.0
30,11.0
31,13.0
32,14.0
33,15.0
34,18.0
35,24.0
36,26.0
37,30.0
38,34.0
39,31.0
40,28.0
41,31.0
42,32.0
43,38.0
44,40.0
45,46.0
46,43.0
47,41.0
48,40.0
49,38.0
50,37.0
51,42.0
52,41.0
53,40.0
54,37.0
55,35.0
56,31.0
57,30.0
58,31.0
59,34.0
60,35.0
61,36.0
62,35.0
63,34.0
64,39.0
65,35.0
66,35.0
67,39.0
68,37.0
69,40.0
70,41.0
71,39.0
72,41.0
73,41.0
74,38.0
75,37.0
76,35.0
77,33.0
78,34.0
79,35.0
80,36.0
81,41.0
82,42.0
83,43.0
84,45.0
85,43.0
86,41.0
87,45.0
88,40.0
89,40.0
90,38.0
91,37.0
92,37.0
93,35.0
94,33.0
95,38.0
96,39.0
97,40.0
98,38.0
99,41.0
100,40.0
101,41.0
102,40.0
103,42.0
104,40.0
105,38.0
106,39.0
107,41.0
108,44.0
109,39.0
110,37.0
111,42.0
112,43.0
113,42.0
114,43.0
115,44.0
116,42.0
117,43.0
118,35.0
119,30.0
120,10.0
121,8.0
122,6.0
123,10.0
124,16.0
125,7.0
126,3.0
127,3.0
128,3.0
129,3.0
130,3.0
131,3.0
132,3.0
133,3.0
134,3.0
135,4.0
136,4.0
137,4.0
138,4.0
139,8.0
140,5.0
141,5.0
142,5.0
143,5.0
144,4.0
145,5.0
146,4.0
147,5.0
148,5.0
149,5.0
150,5.0
151,8.0
152,4.0
153,9.0
154,8.0
155,13.0
156,18.0
157,17.0
158,14.0
159,19.0
160,19.0
161,19.0
162,20.0
163,23.0
164,21.0
165,19.0
166,17.0
167,17.0
168,12.0
169,15.0
170,13.0
171,21.0
172,19.0
173,20.0
174,19.0
175,19.0
176,19.0
177,23.0
178,24.0
179,29.0
180,29.0
181,31.0
182,23.0
183,21.0
184,18.0
185,19.0
186,15.0
187,16.0
188,14.0
189,14.0
190,14.0
191,14.0
192,11.0
193,14.0
194,12.0
195,11.0
196,7.0
197,7.0
198,4.0
199,4.0
200,8.0
201,10.0
202,7.0
203,7.0
204,9.0
205,11.0
206,8.0
207,8.0
208,9.0
209,8.0
210,9.0
211,14.0
212,9.0
213,14.0
214,12.0
215,11.0
216,13.0
217,14.0
218,15.0
219,19.0
220,15.0
221,14.0
222,16.0
223,20.0
224,18.0
225,24.0
226,29.0
227,32.0
228,32.0
229,31.0
230,15.0
231,6.0
232,4.0
233,4.0
234,3.0
235,3.0
236,13.0
237,23.0
238,24.0
239,27.0
240,33.0
241,37.0
242,42.0
243,41.0
244,36.0
245,34.0
246,28.0
247,25.0
248,25.0
249,22.0
250,19.0
251,26.0
252,30.0
253,31.0
254,31.0
255,30.0
256,26.0
257,21.0
258,20.0
259,19.0
260,19.0
261,18.0
262,16.0
263,13.0
264,12.0
265,16.0
266,13.0
267,11.0
268,7.0
269,7.0
270,5.0
271,9.0
272,9.0
273,10.0
274,11.0
275,18.0
276,15.0
277,13.0
278,11.0
279,11.0
280,14.0
281,13.0
282,13.0
283,13.0
284,14.0
285,12.0
286,13.0
287,11.0
288,10.0
289,11.0
290,8.0
291,11.0
292,10.0
293,13.0
294,9.0
295,13.0
296,11.0
297,11.0
298,10.0
299,12.0
300,9.0
301,7.0
302,6.0
303,38.92536106296938
304,18.0
305,16.0
306,14.0
307,18.0
308,19.0
309,19.0
310,14.0
311,15.0
312,13.0
313,13.0
314,11.0
315,15.0
316,13.0
317,14.0
318,13.0
319,11.0
320,12.0
321,16.0
322,16.0
323,24.0
324,26.0
325,28.0
326,22.0
327,28.0
328,29.0
329,31.0
330,32.0
331,28.0
332,24.0
333,21.0
334,17.0
335,21.0
336,18.0
337,20.0
338,20.0
339,23.0
340,27.0
341,30.0
342,26.0
343,22.0
344,18.0
345,21.0
346,21.0
347,25.0
348,23.0
349,17.0
350,38.92536106296938
351,38.92536106296938
352,38.92536106296938
353,38.92536106296938
354,21.0
355,23.0
356,23.0
357,22.0
358,22.0
359,35.0
360,32.0
361,31.0
362,23.0
363,18.0
364,21.0
365,25.0
366,25.0
367,32.0
368,33.0
369,40.0
370,39.0
371,45.0
372,42.0
373,38.0
374,35.0
375,34.0
376,37.0
377,39.0
378,37.0
379,30.0
380,28.0
381,24.0
382,22.0
383,20.0
384,18.0
385,18.0
386,17.0
387,18.0
388,16.0
389,17.0
390,17.0
391,17.0
392,18.0
393,17.0
394,22.0
395,21.0
396,21.0
397,25.0
398,23.0
399,20.0
400,21.0
401,25.0
402,21.0
403,20.0
404,24.0
405,25.0
406,22.0
407,26.0
408,20.0
409,15.0
410,16.0
411,18.0
412,18.0
413,20.0
414,17.0
415,20.0
416,18.0
417,19.0
418,26.0
419,27.0
420,25.0
421,35.0
422,27.0
423,29.0
424,27.0
425,27.0
426,26.0
427,30.0
428,31.0
429,30.0
430,27.0
431,22.0
432,21.0
433,22.0
434,18.0
435,20.0
436,16.0
437,21.0
438,18.0
439,20.0
440,18.0
441,22.0
442,21.0
443,22.0
444,19.0
445,22.0
446,24.0
447,32.0
448,38.0
449,37.0
450,36.0
451,34.0
452,37.0
453,38.0
454,36.0
455,33.0
456,33.0
457,38.0
458,35.0
459,33.0
460,27.0
461,27.0
462,25.0
463,24.0
464,25.0
465,24.0
466,22.0
467,38.92536106296938
468,38.92536106296938
469,23.0
470,21.0
471,23.0
472,25.0
473,31.0
474,35.0
475,39.0
476,32.0
477,30.0
478,25.0
479,25.0
480,26.0
481,30.0
482,28.0
483,26.0
484,26.0
485,24.0
486,24.0
487,28.0
488,25.0
489,24.0
490,30.0
491,34.0
492,30.0
493,31.0
494,39.0
495,31.0
496,32.0
497,36.0
498,44.0
499,46.0
500,36.0
501,37.0
502,37.0
503,34.0
504,33.0
505,34.0
506,30.0
507,32.0
508,32.0
509,32.0
510,32.0
511,37.0
512,44.0
513,44.0
514,49.0
515,52.0
516,44.0
517,44.0
518,33.0
519,20.0
520,17.0
521,20.0
522,28.0
523,31.0
524,34.0
525,40.0
526,46.0
527,47.0
528,45.0
529,43.0
530,40.0
531,41.0
532,39.0
533,38.0
534,38.0
535,39.0
536,41.0
537,39.0
538,36.0
539,39.0
540,42.0
541,42.0
542,37.0
543,38.0
544,40.0
545,36.0
546,31.0
547,33.0
548,33.0
549,31.0
550,25.0
551,24.0
552,30.0
553,31.0
554,34.0
555,34.0
556,31.0
557,31.0
558,29.0
559,32.0
560,27.0
561,27.0
562,28.0
563,34.0
564,33.0
565,29.0
566,23.0
567,24.0
568,24.0
569,31.0
570,31.0
571,23.0
572,23.0
573,23.0
574,18.0
575,19.0
576,24.0
577,29.0
578,27.0
579,27.0
580,24.0
581,23.0
582,24.0
583,24.0
584,24.0
585,25.0
586,25.0
587,31.0
588,34.0
589,27.0
590,23.0
591,26.0
592,22.0
593,24.0
594,23.0
595,28.0
596,34.0
597,37.0
598,32.0
599,31.0
600,33.0
601,35.0
602,31.0
603,31.0
604,29.0
605,29.0
606,28.0
607,30.0
608,29.0
609,34.0
610,39.0
611,39.0
612,38.92536106296938
613,38.92536106296938
614,44.0
615,53.0
616,63.0
617,58.0
618,64.0
619,77.0
620,76.0
621,65.0
622,58.0
623,51.0
624,47.0
625,57.0
626,64.0
627,64.0
628,58.0
629,60.0
630,59.0
631,68.0
632,76.0
633,78.0
634,80.0
635,66.0
636,55.0
637,44.0
638,35.0
639,34.0
640,35.0
641,36.0
642,33.0
643,36.0
644,42.0
645,39.0
646,33.0
647,32.0
648,29.0
649,26.0
650,22.0
651,19.0
652,18.0
653,17.0
654,19.0
655,21.0
656,25.0
657,30.0
658,37.0
659,41.0
660,35.0
661,31.0
662,23.0
663,22.0
664,22.0
665,28.0
666,25.0
667,37.0
668,45.0
669,51.0
670,36.0
671,31.0
672,25.0
